상호명,도로명주소,업종,전화번호,경도,위도
동백어썸커뮤니티,"경기 용인시 기흥구 동백중앙로 358-6,402호 (동백동,동백프라자)",용역 서비스 - 사무서비스,031-693-6836,127.1598318,37.2822031
헤어인보그,"경기 용인시 기흥구 동백중앙로 358-8,301호 (동백동,백현프라자)",보건위생 - 미용원,031-8005-5353,127.160035,37.2820403
홍짜장 동백백현점,"경기 용인시 기흥구 동백7로 83,101호 (동백동,중앙프라자)",일반휴게음식 - 일반한식,031-282-1223,127.1604196,37.2816463
사임당독서실,"경기 용인시 기흥구 동백7로 83,3층 301호 (동백동,중앙프라자)",학원 - 독서실,,127.1604196,37.2816463
인라인월드,"경기 용인시 기흥구 평촌1로1번길 7-1,104호 (동백동)",레져용품 - 스포츠?레져용품,,127.1535258,37.2833779
뚱보곱창,"경기 용인시 기흥구 평촌1로8번길 5-9,1층 101호 (동백동)",일반휴게음식 - 일반한식,031-282-2744,127.1524987,37.2844515
153(일오삼),경기 용인시 기흥구 평촌1로7번길 6-14 (동백동),의류 - 내의판매,070-7650-3125,127.1519897,37.2839841
세라하우스,"경기 용인시 기흥구 평촌1로1번길 1,102호 (동백동)",의류 - 정장,031-274-6203,127.1535738,37.2840761
지브릭커피,"경기 용인시 기흥구 동백8로 167,1층,지하1층일부 (동백동)",일반휴게음식 - 서양음식,02-1899-2192,127.1673513,37.2809045
라온,"경기 용인시 기흥구 동백7로 79,2층 (동백동,두빈빌딩)",보건위생 - 미용원,031-281-7677,127.159977,37.2817305
플레이크 (FLAKE),"경기 용인시 기흥구 평촌2로2번길 11-17,201호 (동백동)",문화.취미 - 애완동물,,127.1522712,37.2827613
플립러닝수학교습소,"경기 용인시 기흥구 동백8로 19 상가동 105호 일부 (동백동,호수마을월드메르디앙)",학원 - 보습학원,031-286-6001,127.1529548,37.2867462
벅스네,경기 용인시 기흥구 평촌1로8번길 5-3 (동백동),문화.취미 - 애완동물,031-274-0704,127.1528125,37.2844544
나무와그림,경기 용인시 기흥구 평촌1로2번길 13 (동백동),문화.취미 - 문화취미기타,031-281-0809,127.1533415,37.2853334
로얄피아노교습소,"경기 용인시 기흥구 동백죽전대로 455-17,201 (동백동,동원로얄듀크아파트상가)",학원 - 예?체능계학원,031-679-6004,127.1488602,37.2799399
두산한식뷔페,"경기 용인시 기흥구 평촌1로8번길 11-28,1층(동백동)",일반휴게음식 - 일반한식,031-378-6474,127.1514426,37.285452
동백복싱클럽,"경기 용인시 기흥구 동백중앙로 352,601호 (동백동,신동백빌딩)",레저업소 - 헬스클럽,031-693-6922,127.1594371,37.2821547
서씨네,"경기 용인시 기흥구 평촌1로1번길 1,104호 (동백동)",보건위생 - 피부미용실,031-281-0777,127.1535738,37.2840761
르뺑데쟈코벵,"경기 용인시 기흥구 평촌2로1번길 35,101호 (동백동)",음료식품 - 제과점,031-285-3643,127.1534663,37.2792604
로타커피,"경기 용인시 기흥구 평촌2로2번길 8,1층 102호 (동백동)",일반휴게음식 - 서양음식,031-282-1265,127.153492,37.2823848
빌리엔젤 동백점,"경기 용인시 기흥구 평촌2로1번길 33,102호 (동백동)",일반휴게음식 - 서양음식,070-4196-3928,127.1535587,37.2793645
강남이반한닭꼬치 용인동백점,"경기 용인시 기흥구 동백중앙로 358-19, 107호 (동백동,미래도프라자)",일반휴게음식 - 일반한식,031-274-0737,127.1608964,37.2815742
클레이 (CLAY),"경기 용인시 기흥구 평촌1로8번길 7-10,101호 (동백동)",일반휴게음식 - 서양음식,031-282-8140,127.1525082,37.2850267
주식회사 제이에스네트웍스,"경기 용인시 기흥구 평촌2로1번길 19,202호 (동백동)",보건위생 - 의료용품,031-000-0000,127.1546775,37.2804837
디엘샵,"경기 용인시 기흥구 동백평촌로 39 상가동 103호 (동백동,호수마을동보노빌리티)",의류 - 정장,031-285-3572,127.1545572,37.2821042
11월의 아침학원,"경기 용인시 기흥구 동백7로 79,6층 (동백동,두빈빌딩)",학원 - 보습학원,031-281-4112,127.159977,37.2817305
놀부옛날통닭,"경기 용인시 기흥구 동백7로 83,115호 (동백동,중앙프라자)",일반휴게음식 - 일반한식,031-284-2841,127.1604196,37.2816463
은혜약국,"경기 용인시 기흥구 동백7로 79,1층 102호 (동백동,두빈빌딩)",약국 - 약국,031-285-9907,127.159977,37.2817305
플레이니터,"경기 용인시 기흥구 동백8로 27,1505동 1603호 (동백동,호수마을휴먼시아)",신변잡화 - 가방,,127.1549698,37.2867526
에코공작소,"경기 용인시 기흥구 평촌2로1번길 28-5,103호 (동백동)",문화.취미 - 문화취미기타,031-338-1302,127.1532683,37.2799343
홀핸즈,"경기 용인시 기흥구 평촌2로1번길 24-1,102호 (동백동)",음료식품 - 농?축?수산품,070-8825-7852,127.1539784,37.2801012
치킨마루 동백호수점,"경기 용인시 기흥구 평촌1로2번길 6-1,1층 (동백동)",일반휴게음식 - 스넥,031-282-9245,127.1535764,37.2846855
예스텔레콤,"경기 용인시 기흥구 평촌1로1번길 1,1층 101호 (동백동)",사무통신 - 통신기기,031-000-0000,127.1535738,37.2840761
스파컬러링,"경기 용인시 기흥구 동백중앙로 358-19,204호 (동백동,미래도프라자)",보건위생 - 미용원,031-1522-2787,127.1608964,37.2815742
그레이스음악학원,경기 용인시 기흥구 동백평촌로 43 상가동 301호 (동백동),학원 - 예?체능계학원,031-693-5050,127.1539935,37.2817878
삼성영어동막영어교습소,경기 용인시 기흥구 동백8로 25 상가동 1층 101-2호 (동백동),학원 - 외국어학원,031-287-3405,127.1536477,37.285831
서부축산,"경기 용인시 기흥구 동백7로 83 (동백동,중앙프라자)",음료식품 - 정육점,031-111-1111,127.1604196,37.2816463
시너지영어학원,"경기 용인시 기흥구 동백중앙로 358-19,501호 (동백동,미래도프라자)",학원 - 외국어학원,031-274-0582,127.1608964,37.2815742
우등생셀파 백현동일 교실,"경기 용인시 기흥구 동백평촌로 70 상가동 203호 (동백동,호수마을상록롯데캐슬아파트)",학원 - 기타 교육기관,031-302-4362,127.1552089,37.2794201
이디야 (동백호수점),경기 용인시 기흥구 평촌2로2번길 12 (동백동),일반휴게음식 - 서양음식,031-284-8553,127.1535067,37.2829345
남도먹거리,"경기 용인시 기흥구 평촌2로 5,1층(동백동)",일반휴게음식 - 일반한식,031-286-8932,127.1531761,37.2816762
가리온학원,"경기 용인시 기흥구 동백중앙로 358-12,5층 503호 (동백동,유타운)",학원 - 보습학원,031-274-7331,127.1601975,37.2819869
살롱 드 라,"경기 용인시 기흥구 평촌2로1번길 29-1,1층 (동백동)",보건위생 - 미용원,031-8005-7090,127.1537619,37.279564
장모님설렁탕,경기 용인시 기흥구 평촌1로1번길 2 (동백동),일반휴게음식 - 일반한식,031-000-0000,127.1532424,37.2839383
청호수산,경기 용인시 기흥구 언동로217번길 45-39 (동백동),일반휴게음식 - 일식?회집,031-287-7588,127.1514202,37.2792733
정재스반찬,"경기 용인시 기흥구 평촌1로2번길 10,1층 (동백동)",음료식품 - 기타음료식품,031-000-0000,127.1535845,37.2849762
커피베이 용인백현점,"경기 용인시 기흥구 동백7로 77,101-3호 (동백동,여강)",일반휴게음식 - 서양음식,031-281-3323,127.1597818,37.2818567
동100수학교습소,"경기 용인시 기흥구 동백7로 95 상가동 106호 (동백동,백현마을한라비발디아파트)",학원 - 보습학원,031-693-1000,127.1613136,37.2807873
플로리쉬 키즈 스튜디오(Flourish Kids Stu,"경기 용인시 기흥구 동백중앙로 358-12 상가동 2층 202호 (동백동,백현마을 동백유타운)",학원 - 외국어학원,02-111-1111,127.1601975,37.2819869
뮤엠영어굿뉴스학원,"경기 용인시 기흥구 동백평촌로 74 상가동 202, 203호 (동백동,호수마을상록롯데캐슬아파트)",학원 - 보습학원,031-274-2754,127.1560764,37.2795732
프랜차이즈 새늘,경기 용인시 기흥구 평촌2로2번길 7-18 (동백동),음료식품 - 기타음료식품,031-896-8089,127.1523249,37.282584
네임드짐요가,"경기 용인시 기흥구 동백중앙로 358-19,302호 (동백동,미래도프라자)",레저업소 - 헬스클럽,031-284-8837,127.1608964,37.2815742
백청우칼국수,"경기 용인시 기흥구 평촌2로1번길 19,1층 (동백동)",일반휴게음식 - 일반한식,031-226-4025,127.1546775,37.2804837
츄릅떡볶이 동백점,"경기 용인시 기흥구 평촌1로2번길 4,103호 (동백동)",일반휴게음식 - 일반한식,031-275-8288,127.1535606,37.284428
봉평면옥,"경기 용인시 기흥구 동백죽전대로 493,1층 (동백동)",일반휴게음식 - 일반한식,031-274-6257,127.1512047,37.2826052
트리안약국,경기 용인시 기흥구 동백동 598-8 경안빌딩103,약국 - 약국,031-693-5353,127.159627,37.2820482
힘찬 경희대 태권도장,"경기 용인시 기흥구 동백7로 73,601호 (동백동,경안빌딩)",학원 - 예?체능계학원,031-285-8111,127.1595859,37.2820153
예스킨케어,"경기 용인시 기흥구 동백7로 96,상가동206호(동백동,백현마을한라비발디아파트)",보건위생 - 피부미용실,,127.1608243,37.2800578
오즈네일앤뷰티,"경기 용인시 기흥구 평촌2로1번길 9-1,1층 104호 (동백동)",보건위생 - 피부미용실,031-730-0880,127.1540532,37.2810613
동백집,"경기 용인시 기흥구 평촌2로2번길 7-7,1층 (동백동)",일반휴게음식 - 일반한식,031-893-4633,127.1528674,37.2823822
CUKOR(쿠코르)용인점,"경기 용인시 기흥구 평촌2로2번길 3-7,1층 102호 (동백동)",보건위생 - 화장품,031-889-4313,127.1529304,37.2820138
믿음세탁,"경기 용인시 기흥구 동백7로 84 (동백동,백현마을코아루아파트상가동103호일부(뒷편))",수리서비스 - 세탁소,031-693-8600,127.1600173,37.2812344
도로시,"경기 용인시 기흥구 평촌1로8번길 1,1층 (동백동)",일반휴게음식 - 서양음식,031-281-3635,127.1528116,37.2843171
프레이즈디자인(Praise Design),"경기 용인시 기흥구 동백죽전대로 455-10,101동 1001호 (동백동,해든마을동문굿모닝힐)",서적문구 - 출판 및 인쇄물,070-7724-0976,127.1511344,37.280707
동백뉴스터디학원,"경기 용인시 기흥구 동백중앙로 358-6,6층 601-1호 (동백동,동백프라자)",학원 - 보습학원,031-282-0670,127.1598318,37.2822031
크린토피아 코인워시 동백백현비발디점,"경기 용인시 기흥구 동백중앙로 358-12,104호 (동백동,유타운상가)",수리서비스 - 세탁소,031-274-9949,127.1601975,37.2819869
과일나라,"경기 용인시 기흥구 평촌2로2번길 8,1층 (동백동)",음료식품 - 농?축?수산품,031-281-4848,127.153492,37.2823848
주식회사 우리동네정육코너 (동백지점),"경기 용인시 기흥구 동백중앙로 358-5,1층 101호 (동백동,백현마을모아미래도아파트)",음료식품 - 정육점,070-4222-1212,127.1600241,37.2824711
더보쌈,"경기 용인시 기흥구 평촌2로1번길 8-10,1층 (동백동)",일반휴게음식 - 일반한식,031-286-5253,127.1533179,37.2811987
동백학원,"경기 용인시 기흥구 동백중앙로 358-6,602호 (동백동,동백프라자)",학원 - 보습학원,070-8810-2919,127.1598318,37.2822031
토이나라,"경기 용인시 기흥구 동백8로131번길 52-48,1층 102호 (동백동)",서적문구 - 기타서적문구,031-322-7165,127.1702257,37.2817669
해법수학,"경기 용인시 기흥구 동백8로 27,1502동 306호 (동백동,호수마을휴먼시아)",학원 - 기타 교육기관,031-000-0000,127.1549698,37.2867526
올가조모,"경기 용인시 기흥구 동백죽전대로 455-17 제상가동 제비1층 102-1호 (동백동,동원로얄듀크아파트)",보건위생 - 화장품,031-111-1111,127.1488602,37.2799399
명랑핫도그 용인동백백현마을점,"경기 용인시 기흥구 동백중앙로 358-5 상가동 104호 (동백동,백현마을모아미래도아파트)",일반휴게음식 - 일반한식,031-282-2764,127.1600241,37.2824711
주식회사 모리온,경기 용인시 기흥구 평촌2로1번길 4-10 (동백동),의류 - 정장,070-4225-4456,127.1525793,37.281444
크린토피아 동백노빌리티점,"경기 용인시 기흥구 평촌2로2번길 6,101호 (동백동)",수리서비스 - 세탁소,031-286-1990,127.1535145,37.2822475
소피아공방,"경기 용인시 기흥구 동백8로 9 상가 101호 (동백동,호수마을자연앤데시앙)",문화.취미 - 문화취미기타,031-000-0000,127.1510414,37.2869137
꿈꾸는 팩토수학,"경기 용인시 기흥구 평촌2로1번길 7-1,202호 (동백동)",학원 - 기타 교육기관,,127.1538867,37.2812952
연세이지수학교습소,"경기 용인시 기흥구 동백죽전대로 455-12 상가동 202호 (동백동,동문굿모닝힐)",학원 - 보습학원,031-289-9100,127.1507416,37.2796897
그리다.헤어,"경기 용인시 기흥구 동백중앙로 358-19,1층 108호 (동백동,미래도프라자)",보건위생 - 미용원,031-287-4008,127.1608964,37.2815742
크린토피아 동백월드메르디앙점,"경기 용인시 기흥구 동백8로 19,1층 105호 (동백동,호수마을월드메르디앙)",수리서비스 - 세탁소,031-693-8585,127.1529548,37.2867462
푸라닭용인동백점,"경기 용인시 기흥구 평촌2로1번길 13,101호 (동백동)",일반휴게음식 - 스넥,031-274-9206,127.1542133,37.2808954
킨더리베아동상담센터,"경기 용인시 기흥구 동백중앙로 358-19,303호 (동백동,미래도프라자)",보건위생 - 기타대인서비스,031-286-3455,127.1608964,37.2815742
바나나콩,"경기 용인시 기흥구 평촌2로1번길 19,1층 (동백동)",음료식품 - 기타음료식품,031-000-0000,127.1546775,37.2804837
연세마고수학학원,"경기 용인시 기흥구 동백8로 90 상가동 201호 (동백동,백현마을모아미래도아파트)",학원 - 보습학원,031-286-0911,127.1601613,37.2831463
이마트24 용인백현코아루점,"경기 용인시 기흥구 동백7로 84 상가동 102호 (동백동,백현마을코아루아파트)",유통업 영리 - 편 의 점,031-000-0000,127.1600173,37.2812344
더루아르플라워,경기 용인시 기흥구 평촌2로1번길 16-20 (동백동),문화.취미 - 화원,03-100-0000,127.1534091,37.2801295
동백순대,"경기 용인시 기흥구 동백중앙로 358-12,109호 (동백동,백현마을유타운상가)",일반휴게음식 - 일반한식,031-274-3126,127.1601975,37.2819869
chef. k(쉐프케이)덮밥연구소,"경기 용인시 기흥구 평촌1로2번길 1,1층 (동백동)",일반휴게음식 - 일반한식,031-286-1266,127.1532478,37.2842961
한국후로아,경기 용인시 기흥구 평촌1로7번길 6-11 (동백동),"직물 - 카페트,커튼,천막,지물",031-287-0471,127.1520319,37.2837704
에버그린미술교습소,"경기 용인시 기흥구 평촌1로2번길 13,1층 (동백동)",학원 - 예?체능계학원,031-282-6678,127.1533415,37.2853334
한국진로학습코칭협회,"경기 용인시 기흥구 동백죽전대로 455-10,101동 605호 (동백동,해든마을동문굿모닝힐)",용역 서비스 - 사무서비스,070-8031-4038,127.1511344,37.280707
바디복싱 다이어트 스파르타 짐,"경기 용인시 기흥구 평촌2로2번길 11-7,1층 (동백동)",레저업소 - 헬스클럽,031-282-1822,127.1530169,37.2827413
그림아트스튜디오 용인동백미술학원,"경기 용인시 기흥구 동백중앙로 358-8,501호 (동백동,백현프라자)",학원 - 예?체능계학원,031-286-8700,127.160035,37.2820403
레인보우,"경기 용인시 기흥구 동백7로 83,118호 (동백동,중앙프라자)",보건위생 - 미용재료,031-285-0212,127.1604196,37.2816463
아틱스튜디오,"경기 용인시 기흥구 평촌3로 29,1층 (동백동)",학원 - 컴퓨터학원,031-8005-5477,127.1530928,37.2794009
감탄동백호수마을점,"경기 용인시 기흥구 평촌1로2번길 14,1층 (동백동)",일반휴게음식 - 스넥,031-287-9498,127.1535956,37.2852794
쌍문동즉석불백,"경기 용인시 기흥구 평촌2로1번길 5,101호 (동백동)",일반휴게음식 - 일반한식,031-274-8024,127.1537583,37.2815086
에이원영어입시학원/주식회사더에이원,"경기 용인시 기흥구 동백중앙로 358-12,303호 (동백동)",학원 - 외국어학원,031-283-3525,127.1601975,37.2819869
좋은친구들 유아체육&오르프,"경기 용인시 기흥구 평촌2로1번길 8-9,B02호 (동백동)",학원 - 기타 교육기관,070-7531-0588,127.1532571,37.280941
스포르체,"경기 용인시 기흥구 동백8로 9,1702동 503호 (동백동,호수마을자연앤데시앙)",의류 - 정장,,127.1510414,37.2869137
스케치북아트교습소,경기 용인시 기흥구 동백죽전대로 455-12 상가동 102호 (동백동),학원 - 예?체능계학원,031-289-9122,127.1507416,37.2796897
글로벌알엔디,"경기 용인시 기흥구 동백8로 19,1602동 1302호 (동백동,호수마을월드메르디앙)",보건위생 - 화장품,070-1661-8721,127.1529548,37.2867462
제이엔피컴퍼니,경기 용인시 기흥구 평촌2로2번길 11-20 (동백동),주방용구 - 주방용구,02-866-7075,127.1521453,37.2829933
태양꼬치꼬치,"경기 용인시 기흥구 동백7로 96 상가동 103호 (동백동,백현마을한라비발디아파트)",일반휴게음식 - 일반한식,031-274-5952,127.1608243,37.2800578
피씨헌터,경기 용인시 기흥구 평촌2로1번길 7-1 (동백동),수리서비스 - 사무?통신기기수리,031-693-6119,127.1538867,37.2812952
주식회사 체리아이디,"경기 용인시 기흥구 평촌1로8번길 11-12,1층 (동백동)",건축자재 - 인테리어전문,031-283-2583,127.1523593,37.2854072
스타짐,"경기 용인시 기흥구 평촌1로2번길 7,1층 (동백동)",레저업소 - 헬스클럽,070-8281-2435,127.1532767,37.2848464
더샵음악교습소,"경기 용인시 기흥구 동백8로 124 상가동202호 (동백동,백현마을모아미래도)",학원 - 예?체능계학원,031-693-2088,127.1635982,37.2827048
네일놀이터,"경기 용인시 기흥구 평촌1로8번길 11-14,1층 102호 (동백동)",보건위생 - 피부미용실,031-274-2743,127.1521854,37.2854158
예미나헤어,"경기 용인시 기흥구 동백중앙로 358-19,205호 (동백동,미래도프라자)",보건위생 - 미용원,031-274-7014,127.1608964,37.2815742
바이제이(by J),"경기 용인시 기흥구 평촌1로2번길 14,1층 103호 (동백동)",의류 - 정장,031-000-0000,127.1535956,37.2852794
경희대 익스트림 마샬아츠,"경기 용인시 기흥구 동백7로 83,208 (동백동,중앙프라자)",학원 - 예?체능계학원,,127.1604196,37.2816463
TheBruh (더브루),"경기 용인시 기흥구 동백7로 100 상가동 2층 203호 (동백동,백현마을한라비발디아파트)",음료식품 - 기타음료식품,031-286-7710,127.1614974,37.2802787
건강한더찬,"경기 용인시 기흥구 동백중앙로 358-5 상가동 105-2호 (동백동,백현마을모아미래도1단지아파트)",음료식품 - 기타음료식품,031-3190-8806,127.1600241,37.2824711
야미,경기 용인시 기흥구 동백8로 90 상가동 106-2호 (동백동),음료식품 - 기타음료식품,031-8273-2595,127.1601613,37.2831463
국수나무,"경기 용인시 기흥구 동백7로 83,1층 107호 (동백동,중앙프라자)",일반휴게음식 - 일반한식,031-8005-7003,127.1604196,37.2816463
채니,경기 용인시 기흥구 평촌2로1번길 1 상가 1층 102호 (동백동),의류 - 정장,031-274-3144,127.1536474,37.2817552
다니네일(DANI NAIL),"경기 용인시 기흥구 동백중앙로 358-19,2층 205호 (동백동,미래도프라자)",보건위생 - 피부미용실,031-274-4031,127.1608964,37.2815742
봉만이감자탕,"경기 용인시 기흥구 동백중앙로 358-12,102호 (동백동)",일반휴게음식 - 일반한식,031-282-0200,127.1601975,37.2819869
김지우헤어,"경기 용인시 기흥구 평촌2로2번길 4,1층 (동백동)",보건위생 - 미용원,,127.153537,37.2821317
네일이레,"경기 용인시 기흥구 동백7로 96 상가동 202호 (동백동,백현마을한라비발디아파트)",보건위생 - 화장품,031-281-9411,127.1608243,37.2800578
섬김유통,"경기 용인시 기흥구 평촌2로1번길 1,302호 (동백동)",음료식품 - 기타음료식품,031-285-0755,127.1536474,37.2817552
요술옷장,경기 용인시 기흥구 평촌2로1번길 13 (동백동),의류 - 정장,031-286-8978,127.1542133,37.2808954
비전수학학원,"경기 용인시 기흥구 동백중앙로 358-12,602호 (동백동,유타운상가)",학원 - 보습학원,031-282-9517,127.1601975,37.2819869
주니어옷장,경기 용인시 기흥구 평촌1로1번길 3-1 .1층 (동백동),의류 - 아동의류,,127.1535406,37.283823
